id;CLM_FREQ; CLM_AMT_1 ; CLM_AMT_2 ; CLM_AMT_3 ; CLM_AMT_4 ; CLM_AMT_5 ; CLM_AMT_6 ; CLM_AMT_7 ;CAR_USE;CAR_TYPE;AGE;GENDER;AREA;PREMIUM
20;2; 472 ; 343 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Rural;800
21;2; 516 ; 562 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;59;M;Urban;702
22;3; 656 ; 401 ; 290 ; -   ; -   ; -   ; -   ;Private;Sedan;42;M;Urban;938
23;2; 407 ; 371 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;34;F;Urban;548
24;1; 522 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;31;F;Urban;866
25;1; 276 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;28;F;Urban;713
26;4; 736 ; 267 ; 505 ; 418 ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban;758
27;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;48;F;Urban;975
28;5; 469 ; 697 ; 190 ; 434 ; 350 ; -   ; -   ;Private;Sedan;47;F;Urban;541
29;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;44;F;Urban;834
30;3; 351 ; 313 ; 739 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban;868
31;1; 703 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;60;F;Urban;955
32;4; 318 ; 671 ; 664 ; 670 ; -   ; -   ; -   ;Private;SUV;33;F;Rural;621
33;2; 549 ; 660 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban;938
34;1; 353 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban;927
35;3; 286 ; 156 ; 310 ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban;713
36;1; 357 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;40;F;Rural;593
37;3; 484 ; 217 ; 794 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;54;M;Urban;623
38;2; 865 ; 408 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;49;M;Urban;990
39;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;36;F;Rural;750
40;1; 264 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;52;F;Urban;993
41;2; 319 ; 641 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;41;M;Urban;546
42;4; 180 ; 208 ; 670 ; 637 ; -   ; -   ; -   ;Commercial;Van;39;M;Urban;671
43;2; 425 ; 399 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;56;F;Rural;720
44;1; 556 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;49;F;Urban;788
45;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Rural;728
46;3; 302 ; 452 ; 752 ; -   ; -   ; -   ; -   ;Commercial;Van;43;F;Urban;975
47;3; 346 ; 421 ; 357 ; -   ; -   ; -   ; -   ;Private;Sports Car;50;F;Urban;944
48;1; 482 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;63;F;Urban;821
49;3; 397 ; 605 ; 715 ; -   ; -   ; -   ; -   ;Commercial;SUV;52;F;Rural;790
50;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;35;M;Urban;693
51;4; 340 ; 371 ; 307 ; 349 ; -   ; -   ; -   ;Private;Sports Car;43;F;Urban;973
52;2; 320 ; 701 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Rural;725
53;1; 280 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;40;M;Urban;563
54;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;31;M;Urban;835
55;2; 338 ; 255 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;47;F;Urban;807
56;1; 307 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;53;M;Urban;874
57;1; 692 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Rural;508
58;1; 164 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;33;M;Urban;800
59;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;59;M;Urban;982
60;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;42;M;Rural;577
61;3; 252 ; 404 ; 517 ; -   ; -   ; -   ; -   ;Commercial;Pickup;40;M;Urban;892
62;1; 337 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Urban;834
63;2; 406 ; 282 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;37;F;Urban;606
64;1; 474 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;36;M;Urban;926
65;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;44;F;Urban;567
66;1; 759 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;56;M;Urban;734
67;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;45;F;Urban;959
68;1; 539 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;34;M;Rural;792
69;1; 354 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;48;M;Urban;985
70;4; 497 ; 366 ; 175 ; 243 ; -   ; -   ; -   ;Private;Sedan;44;M;Urban;855
71;1; 464 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;33;F;Urban;713
72;2; 140 ; 516 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban;951
73;2; 253 ; 299 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;34;F;Urban;783
74;2; 507 ; 932 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;38;F;Urban;867
75;4; 307 ; 846 ; 905 ; 439 ; -   ; -   ; -   ;Private;SUV;35;F;Urban;579
76;1; 308 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;44;F;Urban;921
77;2; 659 ; 830 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;43;F;Urban;973
78;3; 1 043 ; 1 246 ; 367 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;49;M;Urban;571
79;2; 322 ; 111 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;46;F;Urban;951
80;3; 525 ; 381 ; 421 ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;688
81;1; 275 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban;547
82;4; 254 ; 360 ; 596 ; 537 ; -   ; -   ; -   ;Commercial;Pickup;45;M;Urban;766
83;2; 430 ; 570 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;48;M;Urban;880
84;1; 833 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;63;F;Urban;720
85;3; 318 ; 380 ; 193 ; -   ; -   ; -   ; -   ;Private;Sedan;44;F;Urban;888
86;3; 254 ; 763 ; 199 ; -   ; -   ; -   ; -   ;Private;Sedan;45;M;Urban;773
87;4; 418 ; 553 ; 591 ; 348 ; -   ; -   ; -   ;Private;Sports Car;62;F;Urban;883
88;3; 287 ; 666 ; 595 ; -   ; -   ; -   ; -   ;Private;Sports Car;48;F;Urban;897
89;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;37;F;Urban;746
90;6; 257 ; 255 ; 562 ; 201 ; 572 ; 492 ; -   ;Private;Sports Car;35;F;Urban;523
91;3; 411 ; 662 ; 393 ; -   ; -   ; -   ; -   ;Commercial;Pickup;48;M;Urban;903
92;1; 224 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Urban;502
93;4; 280 ; 500 ; 245 ; 413 ; -   ; -   ; -   ;Private;SUV;49;F;Urban;629
94;1; 520 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;44;F;Rural;542
95;3; 256 ; 827 ; 156 ; -   ; -   ; -   ; -   ;Private;Sedan;50;F;Rural;854
96;2; 469 ; 312 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;30;F;Rural;678
97;2; 240 ; 336 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;54;M;Urban;876
98;1; 317 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;38;M;Rural;822
99;4; 755 ; 199 ; 488 ; 549 ; -   ; -   ; -   ;Commercial;SUV;53;F;Urban;875
100;1;-250 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van; 60 ;M;Urban; 750 
101;1; 385 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;29;M;Urban;952
102;1; 365 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;58;M;Urban;999
103;3; 456 ; 471 ; 295 ; -   ; -   ; -   ; -   ;Private;Sedan;55;F;Urban;912
104;2; 558 ; 557 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;55;M;Urban;678
105;1; 354 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;56;F;Rural;600
106;4; 407 ; 549 ; 370 ; 1 000 ; -   ; -   ; -   ;Private;Sports Car;39;F;Urban;949
107;1; 364 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban;565
108;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;34;M;Urban;589
109;1; 400 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;34;F;Urban;747
110;2; 477 ; 228 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;36;M;Urban;939
111;3; 389 ; 470 ; 401 ; -   ; -   ; -   ; -   ;Private;Sedan;41;M;Urban;729
112;2; 340 ; 500 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban;633
113;3; 252 ; 415 ; 212 ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;644
114;1; 314 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;42;M;Urban;819
115;4; 143 ; 716 ; 333 ; 583 ; -   ; -   ; -   ;Private;Pickup;38;M;Rural;839
116;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;33;M;Urban;558
117;2; 502 ; 580 ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;37;F;Urban;543
118;3; 339 ; 495 ; 546 ; -   ; -   ; -   ; -   ;Private;Sedan;42;F;Urban;778
119;2; 365 ; 256 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;47;F;Urban;689
120;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;781
121;3; 630 ; 316 ; 379 ; -   ; -   ; -   ; -   ;Commercial;Sedan;52;F;Rural;767
122;3; 261 ; 421 ; 281 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban;826
123;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;64;M;Urban;770
124;1; 521 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;66;M;Urban;942
125;4; 763 ; 150 ; 501 ; 497 ; -   ; -   ; -   ;Commercial;Pickup;60;M;Urban;547
126;2; 396 ; 350 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban;832
127;1; 592 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;52;M;Urban;666
128;3; 256 ; 319 ; 398 ; -   ; -   ; -   ; -   ;Private;SUV;52;F;Urban;855
129;1; 426 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;56;M;Urban;798
130;3; 430 ; 373 ; 383 ; -   ; -   ; -   ; -   ;Private;Sports Car;38;F;Rural;579
131;4; 269 ; 346 ; 531 ; 938 ; -   ; -   ; -   ;Private;SUV;55;F;Urban;857
132;1; 214 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;47;M;Urban;992
133;2; 345 ; 314 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;37;M;Urban;540
134;1; 374 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;47;M;Urban;981
135;2; 293 ; 324 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;26;M;Urban;854
136;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;61;F;Urban;727
137;2; 452 ; 598 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;41;F;Urban;542
138;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;40;F;Rural;854
139;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;52;M;Urban;670
140;5; 126 ; 309 ; 367 ; 311 ; 449 ; -   ; -   ;Private;Pickup;58;F;Urban;594
141;3; 267 ; 343 ; 358 ; -   ; -   ; -   ; -   ;Private;Sedan;52;M;Urban;770
142;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Urban;938
143;1; 610 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;41;M;Urban;817
144;1; 297 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;573
145;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;48;M;Urban;623
146;1; 595 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban;532
147;1; 320 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;41;M;Urban;865
148;1; 543 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban;899
149;3; 347 ; 362 ; 218 ; -   ; -   ; -   ; -   ;Private;Sedan;41;M;Rural;781
150;3; 377 ; 156 ; 330 ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;47;M;Urban;903
151;1; 310 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;30;F;Rural;687
152;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;F;Rural;985
153;1; 447 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;46;F;Urban;842
154;1; 539 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban;578
155;1; 225 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;33;F;Urban;732
156;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;34;F;Urban;583
157;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;F;Urban;703
158;3; 315 ; 315 ; 645 ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;924
159;4; 241 ; 391 ; 358 ; 820 ; -   ; -   ; -   ;Private;SUV;62;F;Urban;755
160;2; 377 ; 357 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;42;M;Urban;779
161;1; 559 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Rural;863
162;1; 276 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban;565
163;2; 533 ; 619 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;50;M;Urban;935
164;2; 416 ; 364 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;51;M;Urban;510
165;3; 166 ; 456 ; 340 ; -   ; -   ; -   ; -   ;Private;Sports Car;46;F;Rural;652
166;1; 250 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;F;Urban;885
167;2; 344 ; 208 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;558
168;1; 188 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;39;F;Urban;549
169;1; 386 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;43;F;Urban;794
170;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;60;F;Urban;768
171;2; 736 ; 507 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;55;M;Rural;884
172;2; 744 ; 290 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;40;F;Urban;552
173;1; 1 118 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;39;F;Urban;826
174;1; 229 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;49;M;Urban;668
175;1; 431 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;38;M;Urban;989
176;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;42;M;Urban;636
177;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;42;F;Urban;863
178;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;49;F;Urban;842
179;4; 238 ; 577 ; 336 ; 390 ; -   ; -   ; -   ;Private;SUV;36;F;Urban;947
180;2; 242 ; 209 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;34;M;Urban;779
181;2; 213 ; 340 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban;557
182;2; 315 ; 248 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;52;M;Urban;924
183;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;50;M;Urban;622
184;2; 728 ; 484 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;53;F;Urban;723
185;2; 493 ; 336 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Rural;609
186;2; 338 ; 272 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;40;F;Urban;643
187;3; 479 ; 643 ; 482 ; -   ; -   ; -   ; -   ;Private;Sedan;40;F;Urban;808
188;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;874
189;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;80;M;Urban;802
190;3; 477 ; 712 ; 228 ; -   ; -   ; -   ; -   ;Commercial;Pickup;48;M;Urban;953
191;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;37;M;Rural;546
192;2; 174 ; 442 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;40;F;Rural;696
193;1; 295 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;26;M;Urban;913
194;1; 379 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;F;Urban;795
195;4; 733 ; 398 ; 482 ; 324 ; -   ; -   ; -   ;Private;SUV;46;F;Urban;747
196;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;42;F;Urban;508
197;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;36;F;Urban;897
198;4; 426 ; 365 ; 244 ; 350 ; -   ; -   ; -   ;Commercial;Van;45;F;Rural;891
199;1; 350 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;52;F;Rural;533
200;1; 313 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;41;M;Rural;676
201;3; 321 ; 378 ; 213 ; -   ; -   ; -   ; -   ;Private;Sports Car;36;F;Urban;886
202;2; 223 ; 449 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;56;F;Urban;730
203;1; 202 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;53;F;Rural;800
204;1; 805 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;39;F;Urban;714
205;1; 279 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Rural;592
206;2; 203 ; 368 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;M;Urban;781
207;2; 201 ; 328 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;46;F;Rural;994
208;4; 552 ; 251 ; 320 ; 738 ; -   ; -   ; -   ;Private;Sedan;43;M;Urban;553
209;5; 462 ; 300 ; 590 ; 417 ; 784 ; -   ; -   ;Private;SUV;54;F;Urban;688
210;1; 257 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban;824
211;2; 747 ; 233 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;61;F;Rural;591
212;1; 377 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;50;M;Rural;830
213;4; 438 ; 466 ; 235 ; 536 ; -   ; -   ; -   ;Private;Sports Car;62;F;Urban;854
214;1; 294 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;53;F;Urban;576
215;1; 202 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;52;M;Urban;881
216;1; 431 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;54;F;Urban;771
217;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;53;F;Rural;563
218;1; 481 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban;518
219;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;39;M;Rural;945
220;3; 601 ; 420 ; 397 ; -   ; -   ; -   ; -   ;Private;Sedan;38;F;Rural;696
221;2; 310 ; 539 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;42;M;Urban;972
222;1; 368 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;31;F;Urban;858
223;2; 348 ; 180 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban;805
224;2; 568 ; 551 ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Rural;683
225;2; 340 ; 503 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Urban;824
226;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;48;F;Urban;966
227;2; 375 ; 445 ; -   ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban;647
228;1; 537 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;45;F;Urban;654
229;3; 368 ; 859 ; 471 ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban;982
230;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;41;F;Rural;661
231;4; 412 ; 262 ; 258 ; 866 ; -   ; -   ; -   ;Commercial;SUV;45;F;Rural;829
232;2; 423 ; 388 ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;53;F;Urban;641
233;1; 232 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;51;F;Urban;653
234;2; 247 ; 372 ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;51;F;Urban;600
235;2; 247 ; 417 ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;36;M;Urban;642
236;5; 511 ; 325 ; 433 ; 773 ; 390 ; -   ; -   ;Private;SUV;43;F;Urban;917
237;2; 624 ; 1 019 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;43;F;Urban;772
238;1; 430 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;53;F;Urban;547
239;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;40;M;Urban;652
240;7; 682 ; 175 ; 385 ; 358 ; 305 ; 308 ; 468 ;Private;SUV;31;F;Rural;652
241;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban;535
242;4; 228 ; 267 ; 841 ; 340 ; -   ; -   ; -   ;Private;SUV;58;F;Urban;872
243;3; 350 ; 429 ; 465 ; -   ; -   ; -   ; -   ;Commercial;Pickup;49;M;Urban;959
244;3; 465 ; 385 ; 457 ; -   ; -   ; -   ; -   ;Private;Van;50;F;Urban;540
245;2; 181 ; 210 ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;45;M;Urban;840
246;1; 262 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;46;F;Urban;680
247;2; 193 ; 401 ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;47;M;Urban;951
248;5; 217 ; 369 ; 698 ; 323 ; 502 ; -   ; -   ;Commercial;Sedan;43;M;Urban;607
249;3; 335 ; 285 ; 335 ; -   ; -   ; -   ; -   ;Private;Sports Car;41;F;Urban;740
250;1; 343 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;48;F;Urban;996
251;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;39;M;Rural;592
252;1; 320 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;49;F;Rural;893
253;1; 375 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;45;F;Urban;870
254;4; 366 ; 325 ; 513 ; 410 ; -   ; -   ; -   ;Private;SUV;36;F;Urban;930
255;1; 320 ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;59;F;Urban;859
256;2; 464 ; 486 ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;60;M;Urban;948
257;3; 265 ; 608 ; 615 ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban;695
258;1; 299 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;930
259;3; 738 ; 178 ; 388 ; -   ; -   ; -   ; -   ;Commercial;Sedan;34;M;Rural;540
260;1; 480 ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;57;M;Urban;780
261;3; 352 ; 593 ; 196 ; -   ; -   ; -   ; -   ;Private;Sedan;33;M;Rural;910
262;4; 396 ; 271 ; 502 ; 328 ; -   ; -   ; -   ;Commercial;Sedan;52;M;Urban;530
